,name,reward_scale,reward_5D,count,count,mean,mean,std,std,min,min,25%,25%,50%,50%,75%,75%,max,max
17,steep-hickory-jay,0.4329071044921875,1.68762446,165.0,165.0,0.652022020744555,0.652022020744555,0.21929773086691545,0.21929773086691545,0.150970458984375,0.150970458984375,0.6045989990234375,0.6045989990234375,0.6060638427734375,0.6060638427734375,0.6666717529296875,0.6666717529296875,1.0,1.0
9,proud-opal-weasel,0.5956878662109375,1.66840604,83.0,83.0,0.6511247014424887,0.6511247014424887,0.2613051310077546,0.2613051310077546,0.09307861328125,0.09307861328125,0.5,0.5,0.5988006591796875,0.5988006591796875,1.0,1.0,1.0,1.0
16,salty-topaz-elk,0.44329833984375,1.64468978,197.0,197.0,0.4426130885400143,0.4426130885400143,0.15298898065954708,0.15298898065954708,0.147003173828125,0.147003173828125,0.414306640625,0.414306640625,0.44329833984375,0.44329833984375,0.4488372802734375,0.4488372802734375,1.0,1.0
3,itchy-gingerbread-beetle,0.599700927734375,1.60602743,152.0,152.0,0.6303476032457853,0.6303476032457853,0.22637598111218724,0.22637598111218724,0.0998077392578125,0.0998077392578125,0.5839424133300781,0.5839424133300781,0.5988006591796875,0.5988006591796875,0.6354179382324219,0.6354179382324219,1.0,1.0
28,soaring-ivory-condor,0.5677490234375,1.33377851,255.0,255.0,0.6441841275084252,0.6441841275084252,0.2504408872248038,0.2504408872248038,0.1420440673828125,0.1420440673828125,0.516143798828125,0.516143798828125,0.5677490234375,0.5677490234375,0.9464263916015625,0.9464263916015625,1.0,1.0
34,fun-shadow-rhino,0.660064697265625,1.32884868,181.0,181.0,0.5435153687197859,0.5435153687197859,0.2060178322696718,0.2060178322696718,0.0272064208984375,0.0272064208984375,0.4396820068359375,0.4396820068359375,0.6530609130859375,0.6530609130859375,0.660064697265625,0.660064697265625,1.0,1.0
20,brisk-tiger-stallion,0.651397705078125,1.2929486,163.0,163.0,0.5774078369140625,0.5774078369140625,0.15686427272431577,0.15686427272431577,0.0615386962890625,0.0615386962890625,0.578277587890625,0.578277587890625,0.659515380859375,0.659515380859375,0.660064697265625,0.660064697265625,1.0,1.0
31,quick-watermelon-terrier,0.5677490234375,1.23030287,137.0,137.0,0.6681558650775548,0.6681558650775548,0.22652788756750658,0.22652788756750658,0.1892547607421875,0.1892547607421875,0.5643310546875,0.5643310546875,0.56817626953125,0.56817626953125,0.8333282470703125,0.8333282470703125,1.0,1.0
37,wild-azure-dove,1.0,1.19992129,155.0,155.0,0.6793075069304435,0.6793075069304435,0.2355779023166411,0.2355779023166411,0.18939208984375,0.18939208984375,0.5643310546875,0.5643310546875,0.56817626953125,0.56817626953125,0.8333282470703125,0.8333282470703125,1.0,1.0
23,modern-khaki-elk,0.78778076171875,1.10596285,140.0,140.0,0.6242315019880023,0.6242315019880023,0.23244962139928835,0.23244962139928835,0.1041412353515625,0.1041412353515625,0.44745635986328125,0.44745635986328125,0.6830596923828125,0.6830596923828125,0.8436050415039062,0.8436050415039062,1.0,1.0
25,square-spruce-ram,0.77435302734375,0.99649916,126.0,126.0,0.6597584315708706,0.6597584315708706,0.22805355093923402,0.22805355093923402,0.097625732421875,0.097625732421875,0.4963836669921875,0.4963836669921875,0.6830596923828125,0.6830596923828125,0.863555908203125,0.863555908203125,1.0,1.0
24,future-carmine-penguin,0.296142578125,0.92412244,160.0,160.0,0.5498125076293945,0.5498125076293945,0.3038314057647218,0.3038314057647218,0.079833984375,0.079833984375,0.2960319519042969,0.2960319519042969,0.5,0.5,0.8272743225097656,0.8272743225097656,1.0,1.0
27,unique-amethyst-horse,0.551239013671875,0.91209423,205.0,205.0,0.4921033905773628,0.4921033905773628,0.22247094838696296,0.22247094838696296,0.0489959716796875,0.0489959716796875,0.327301025390625,0.327301025390625,0.458160400390625,0.458160400390625,0.606353759765625,0.606353759765625,1.0,1.0
19,sleepy-sage-shetland,0.7142791748046875,0.90941084,79.0,79.0,0.8430965761595135,0.8430965761595135,0.22541005019152938,0.22541005019152938,0.217010498046875,0.217010498046875,0.712249755859375,0.712249755859375,1.0,1.0,1.0,1.0,1.0,1.0
26,nice-berry-tortoise,0.284088134765625,0.86797384,109.0,109.0,0.6354685092191084,0.6354685092191084,0.2572649043605006,0.2572649043605006,0.1420440673828125,0.1420440673828125,0.5411224365234375,0.5411224365234375,0.56817626953125,0.56817626953125,0.8333282470703125,0.8333282470703125,1.0,1.0
22,sneaky-khaki-reindeer,0.4258880615234375,0.86099159,93.0,93.0,0.674009753811744,0.674009753811744,0.26297380280177446,0.26297380280177446,0.0981292724609375,0.0981292724609375,0.4332733154296875,0.4332733154296875,0.83612060546875,0.83612060546875,0.866546630859375,0.866546630859375,1.0,1.0
29,tall-crimson-hippo,1.0,0.85342233,169.0,169.0,0.6986634745400333,0.6986634745400333,0.25695938944519264,0.25695938944519264,0.1872711181640625,0.1872711181640625,0.56646728515625,0.56646728515625,0.56817626953125,0.56817626953125,1.0,1.0,1.0,1.0
42,tiny-carmine-cod,0.448394775390625,0.83428763,200.0,200.0,0.5301949310302735,0.5301949310302735,0.20589506978156705,0.20589506978156705,0.098663330078125,0.098663330078125,0.37233734130859375,0.37233734130859375,0.5052947998046875,0.5052947998046875,0.7001991271972656,0.7001991271972656,1.0,1.0
30,urban-pickle-cougar,0.647674560546875,0.79915005,51.0,51.0,0.48065993365119486,0.48065993365119486,0.23350614786445217,0.23350614786445217,0.0451507568359375,0.0451507568359375,0.30216217041015625,0.30216217041015625,0.629730224609375,0.629730224609375,0.6485137939453125,0.6485137939453125,0.9191131591796875,0.9191131591796875
43,cheery-orchid-gazelle,0.32623291015625,0.7473731,209.0,209.0,0.49130979109038575,0.49130979109038575,0.26485945278743656,0.26485945278743656,0.0935211181640625,0.0935211181640625,0.32623291015625,0.32623291015625,0.400726318359375,0.400726318359375,0.701263427734375,0.701263427734375,1.0,1.0
44,prehistoric-saffron-otter,0.329376220703125,0.72214714,222.0,222.0,0.49140943922438063,0.49140943922438063,0.27354377937112084,0.27354377937112084,0.0703887939453125,0.0703887939453125,0.32916259765625,0.32916259765625,0.4017333984375,0.4017333984375,0.6926155090332031,0.6926155090332031,1.0,1.0
45,clean-tawny-coyote,0.5677490234375,0.71314875,138.0,138.0,0.6336616847826086,0.6336616847826086,0.25957693173846397,0.25957693173846397,0.1420440673828125,0.1420440673828125,0.5,0.5,0.567962646484375,0.567962646484375,0.8333282470703125,0.8333282470703125,1.0,1.0
21,flat-powder-pelican,0.3394012451171875,0.70914376,177.0,177.0,0.3182478220449329,0.3182478220449329,0.15869567423492084,0.15869567423492084,0.01983642578125,0.01983642578125,0.218505859375,0.218505859375,0.3359375,0.3359375,0.3684539794921875,0.3684539794921875,1.0,1.0
13,fresh-coffee-terrier,0.3359527587890625,0.69439853,160.0,160.0,0.40891666412353517,0.40891666412353517,0.20898638366293434,0.20898638366293434,0.0503082275390625,0.0503082275390625,0.2916374206542969,0.2916374206542969,0.3377532958984375,0.3377532958984375,0.5627670288085938,0.5627670288085938,1.0,1.0
